bottomdark_content,image,bottomdark_links,link,bottomlight_value_2,bottomlight_value_3,bottomlight_number/_source,bottomdark_value,bottomlight_value_1,bottomdark_content_numbers/_source,link/_text,link/_source,bottomdark_content_numbers,bottomdark_links/_text,bottomdark_links/_source,bottomlight_number,pageUrl
"724 Honeyspot Rd Stratford, Connecticut, 06615-7109 United States phone: (203) 767-8811 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Stratford&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.fairfieldcraftales.com,http://www.beeradvocate.com/beer/profile/43373/,-,-,1,[ Brewery ],-,724; 06615; 7109; 203; 767; 8811,Fairfield Craft Ales,/beer/profile/43373/,724; 6615; 7109; 203; 767; 8811,Stratford; Connecticut; United States; official website,/place/list/?city=Stratford&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,1,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"139 Center St Bristol, Connecticut, 06010-5074 United States phone: (860) 845-8977 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Bristol&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://fireflyhollowbrewing.com/,http://www.beeradvocate.com/beer/profile/33119/,51,3.73,39,"[ Brewery, Bar ]",4.13,139; 06010; 5074; 860; 845; 8977,Firefly Hollow Brewing Co.,/beer/profile/33119/,139; 6010; 5074; 860; 845; 8977,Bristol; Connecticut; United States; official website,/place/list/?city=Bristol&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,39,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"43 Homestead Ave Stamford, Connecticut, 06902-7204 United States phone: (203) 658-3631 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Stamford&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.halffullbrewery.com,http://www.beeradvocate.com/beer/profile/30239/,14,3.39,21,"[ Brewery, Bar ]",3.76,43; 06902; 7204; 203; 658; 3631,Half Full Brewery,/beer/profile/30239/,43; 6902; 7204; 203; 658; 3631,Stamford; Connecticut; United States; official website,/place/list/?city=Stamford&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,21,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"1429 Park St Hartford, Connecticut, 06106-2236 United States phone: (860) 111-1111 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Hartford&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.hogriverbrewingcompany.com/,http://www.beeradvocate.com/beer/profile/42224/,-,-,4,[ Brewery ],-,1429; 06106; 2236; 860; 111; 1111,Hog River Brewing Co.,/beer/profile/42224/,1429; 6106; 2236; 860; 111; 1111,Hartford; Connecticut; United States; official website,/place/list/?city=Hartford&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,4,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"33 Camps Rd Kent, Connecticut, 06757-1901 United States phone: (860) 398-9645 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Kent&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.kentfallsbrewing.com/,http://www.beeradvocate.com/beer/profile/37192/,-,4.06,36,[ Brewery ],-,33; 06757; 1901; 860; 398; 9645,Kent Falls Brewing Company,/beer/profile/37192/,33; 6757; 1901; 860; 398; 9645,Kent; Connecticut; United States; official website,/place/list/?city=Kent&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,36,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"175 Amity Rd Woodbridge, Connecticut, 06525-2201 United States phone: (203) 387-2222 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Woodbridge&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.newenglandbrewing.com,http://www.beeradvocate.com/beer/profile/357/,-,4.17,55,[ Brewery ],-,175; 06525; 2201; 203; 387; 2222,New England Brewing Co.,/beer/profile/357/,175; 6525; 2201; 203; 387; 2222,Woodbridge; Connecticut; United States; official website,/place/list/?city=Woodbridge&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,55,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"2520 State St Hamden, Connecticut, 06517-3004 United States official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Hamden&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.noworriesbeer.com/,http://www.beeradvocate.com/beer/profile/38674/,1,-,4,"[ Brewery, Bar ]",4.78,2520; 06517; 3004,No Worries Brewing Company,/beer/profile/38674/,2520; 6517; 3004,Hamden; Connecticut; United States; official website,/place/list/?city=Hamden&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,4,http://www.beeradvocate.com/place/list/?start=0&c_id=US&s_id=CT&brewery=Y&sort=name
"11 Freedom Way Niantic, Connecticut, 06357-1041 United States official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Niantic&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.noblejaybrew.com/,http://www.beeradvocate.com/beer/profile/42227/,-,-,10,"[ Brewery, Bar ]",-,11; 06357; 1041,Noble Jay Brewing Company,/beer/profile/42227/,11; 6357; 1041,Niantic; Connecticut; United States; official website,/place/list/?city=Niantic&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,10,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"7 Fox Hollow Rd Unit B Oxford, Connecticut, 06478 United States phone: (203) 295-2831 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Oxford&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.oecbrewing.com,http://www.beeradvocate.com/beer/profile/34667/,71,4.04,47,"[ Brewery, Bar ]",4.55,7; 06478; 203; 295; 2831,OEC Brewing (Ordinem Ecentrici Coctores),/beer/profile/34667/,7; 6478; 203; 295; 2831,Oxford; Connecticut; United States; official website,/place/list/?city=Oxford&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,47,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"266 Bridge St Groton, Connecticut, 06340-3739 United States official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Groton&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.outerlightbrewing.com/brewery/,http://www.beeradvocate.com/beer/profile/38293/,8,3.91,22,"[ Brewery, Bar ]",4.2,266; 06340; 3739,Outer Light Brewing Company,/beer/profile/38293/,266; 6340; 3739,Groton; Connecticut; United States; official website,/place/list/?city=Groton&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,22,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"244 Bradley St East Haven, Connecticut, 06512-1471 United States phone: (203) 909-6224 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=East+Haven&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.overshores.com/,http://www.beeradvocate.com/beer/profile/34301/,10,3.76,10,"[ Brewery, Bar ]",4.04,244; 06512; 1471; 203; 909; 6224,Overshores Brewing Co.,/beer/profile/34301/,244; 6512; 1471; 203; 909; 6224,East Haven; Connecticut; United States; official website,/place/list/?city=East+Haven&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,10,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"25 Leavenworth St Waterbury, Connecticut, 06702-2111 United States phone: (203) 573-1743 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Waterbury&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://piesandpints.biz,http://www.beeradvocate.com/beer/profile/34594/,4,3.71,7,"[ Brewery, Bar, Eatery ]",2.02,25; 06702; 2111; 203; 573; 1743,Pies & Pints Restaurant & Brewery,/beer/profile/34594/,25; 6702; 2111; 203; 573; 1743,Waterbury; Connecticut; United States; official website,/place/list/?city=Waterbury&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,7,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"765 Sullivan Ave South Windsor, Connecticut, 06074 United States phone: (860) 707-2792 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=South+Windsor&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.pioneerbrewingcompany.com/,http://www.beeradvocate.com/beer/profile/85/,12,3.71,11,[ Brewery ],-,765; 06074; 860; 707; 2792,Pioneer Beer Company,/beer/profile/85/,765; 6074; 860; 707; 2792,South Windsor; Connecticut; United States; official website,/place/list/?city=South+Windsor&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,11,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"504 Hazard Ave Enfield, Connecticut, 06082-4733 United States phone: (860) 205-0942 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Enfield&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; https://www.facebook.com/powderhollowbrewery,http://www.beeradvocate.com/beer/profile/37374/,13,3.2,17,"[ Brewery, Bar ]",3.77,504; 06082; 4733; 860; 205; 0942,Powder Hollow Brewery,/beer/profile/37374/,504; 6082; 4733; 860; 205; 942,Enfield; Connecticut; United States; official website,/place/list/?city=Enfield&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,17,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"1720 Post Rd E Westport, Connecticut, 06880-5643 United States phone: (203) 255-6100 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Westport&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.pongbeerusa.com/,http://www.beeradvocate.com/beer/profile/27793/,-,2.33,1,[ Brewery ],-,1720; 06880; 5643; 203; 255; 6100,Private Stock Spirits,/beer/profile/27793/,1720; 6880; 5643; 203; 255; 6100,Westport; Connecticut; United States; official website,/place/list/?city=Westport&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,1,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"95 Whiting St Ste B Plainville, Connecticut, 06062-2842 United States phone: (860) 255-4252 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Plainville&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.relicbeer.com,http://www.beeradvocate.com/beer/profile/28510/,44,3.77,64,"[ Brewery, Bar ]",4.15,95; 06062; 2842; 860; 255; 4252,Relic Brewing Co,/beer/profile/28510/,95; 6062; 2842; 860; 255; 4252,Plainville; Connecticut; United States; official website,/place/list/?city=Plainville&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,64,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"100 Mechanic St Ste 22 Pawcatuck, Connecticut, 06379-2163 United States phone: (860) 599-8213 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Pawcatuck&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.safeharborbeer.com/,http://www.beeradvocate.com/beer/profile/27196/,-,3.56,2,[ Brewery ],-,100; 22; 06379; 2163; 860; 599; 8213,Safe Harbor Brewing Co,/beer/profile/27196/,100; 22; 6379; 2163; 860; 599; 8213,Pawcatuck; Connecticut; United States; official website,/place/list/?city=Pawcatuck&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,2,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"33 New Haven Ave Milford, Connecticut, 06460-3308 United States phone: (203) 874-2337 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Milford&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.southportbrewing.com,http://www.beeradvocate.com/beer/profile/11426/,19,3.34,11,"[ Brewery, Bar, Eatery ]",3.3,33; 06460; 3308; 203; 874; 2337,SBC Restaurant & Brewery - Milford,/beer/profile/11426/,33; 6460; 3308; 203; 874; 2337,Milford; Connecticut; United States; official website,/place/list/?city=Milford&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,11,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"2600 Post Rd Southport, Connecticut, 06890-1258 United States phone: (203) 256-2337 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Southport&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.southportbrewing.com,http://www.beeradvocate.com/beer/profile/557/,21,3.32,24,"[ Brewery, Bar, Eatery ]",3.37,2600; 06890; 1258; 203; 256; 2337,SBC Restaurant & Brewery - Southport,/beer/profile/557/,2600; 6890; 1258; 203; 256; 2337,Southport; Connecticut; United States; official website,/place/list/?city=Southport&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,24,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"1 Wolcott Rd Wolcott, Connecticut, 06716-2611 United States phone: (203) 514-2336 official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Wolcott&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://www.shebeenbrewing.com,http://www.beeradvocate.com/beer/profile/31492/,23,3.42,24,"[ Brewery, Bar ]",3.91,1; 06716; 2611; 203; 514; 2336,Shebeen Brewing Company,/beer/profile/31492/,1; 6716; 2611; 203; 514; 2336,Wolcott; Connecticut; United States; official website,/place/list/?city=Wolcott&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,24,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
"95 Bridge Rd Haddam, Connecticut, 06438-1354 United States official website",http://cdn.beeradvocate.com/im/i_website.gif,http://www.beeradvocate.com/place/list/?city=Haddam&c_id=US&s_id=CT; http://www.beeradvocate.com/place/directory/9/US/CT/; http://www.beeradvocate.com/place/directory/9/US/; http://steadyhabitbrewing.com/main/,http://www.beeradvocate.com/beer/profile/37514/,-,4.39,24,[ Brewery ],-,95; 06438; 1354,Steady Habit Brewing Company,/beer/profile/37514/,95; 6438; 1354,Haddam; Connecticut; United States; official website,/place/list/?city=Haddam&c_id=US&s_id=CT; /place/directory/9/US/CT/; /place/directory/9/US/; ,24,http://www.beeradvocate.com/place/list/?start=20&c_id=US&s_id=CT&brewery=Y&sort=name
